draw_date,jackpot_nzd,status,draw_number,notes
2025-01-01,4000000,Rollover,1,First draw of 2025
2025-01-04,5000000,Rollover,2,
2025-01-08,7000000,Won,3,
2025-01-11,4000000,Rollover,4,
2025-01-15,5000000,Won,5,
2025-01-18,4000000,Rollover,6,
2025-01-22,8333333,Won,7,
2025-01-25,4000000,Won,8,
2025-01-29,4000000,Rollover,9,
2025-02-01,5500000,Rollover,10,
2025-02-05,7000000,Rollover,11,
2025-02-08,10500000,Won,12,
2025-02-12,4000000,Rollover,13,
2025-02-15,5000000,Rollover,14,
2025-02-19,6500000,Rollover,15,
2025-02-22,8500000,Rollover,16,
2025-02-26,10500000,Won,17,
2025-03-01,4000000,Rollover,18,
2025-03-05,5000000,Won,19,
2025-03-08,4000000,Rollover,20,
2025-03-12,6000000,Rollover,21,
2025-03-15,11000000,Won,22,
2025-03-19,4000000,Rollover,23,
2025-03-22,5333333,Won,24,
2025-03-26,4000000,Rollover,25,
2025-03-29,5000000,Won,26,
2025-04-02,4000000,Rollover,27,
2025-04-05,5000000,Rollover,28,
2025-04-09,7000000,Rollover,29,
2025-04-12,10000000,Rollover,30,
2025-04-16,14000000,Rollover,31,
2025-04-19,19000000,Rollover,32,
2025-04-23,23333333,Won,33,6-draw rollover chain
2025-04-26,4000000,Rollover,34,
2025-04-30,5000000,Won,35,
2025-05-03,4000000,Rollover,36,
2025-05-07,5500000,Rollover,37,
2025-05-10,7500000,Rollover,38,
2025-05-14,10500000,Rollover,39,
2025-05-17,14000000,Rollover,40,
2025-05-21,17200000,Won,41,5-draw rollover chain
2025-05-24,4000000,Rollover,42,
2025-05-28,5000000,Won,43,
2025-05-31,4000000,Rollover,44,
2025-06-04,5000000,Rollover,45,
2025-06-07,7000000,Rollover,46,
2025-06-11,10000000,Rollover,47,
2025-06-14,14000000,Rollover,48,
2025-06-18,20000000,Rollover,49,
2025-06-21,30166666,Won,50,6-draw rollover chain
2025-06-25,4000000,Rollover,51,
2025-06-28,5000000,Won,52,
2025-07-02,4000000,Rollover,53,
2025-07-05,6000000,Rollover,54,
2025-07-09,10333333,Won,55,
2025-07-12,4000000,Rollover,56,
2025-07-16,5000000,Won,57,
2025-07-19,4000000,Rollover,58,
2025-07-23,5000000,Rollover,59,
2025-07-26,7000000,Rollover,60,
2025-07-30,10000000,Rollover,61,
2025-08-02,14000000,Rollover,62,
2025-08-06,18000000,Rollover,63,
2025-08-09,20250000,Won,64,6-draw rollover chain
2025-08-13,4000000,Rollover,65,
2025-08-16,5000000,Won,66,
2025-08-20,4000000,Rollover,67,
2025-08-23,6000000,Rollover,68,
2025-08-27,8500000,Rollover,69,
2025-08-30,12500000,Won,70,
2025-09-06,4000000,Won,72,
2025-09-10,4000000,Rollover,73,
2025-09-13,5500000,Rollover,74,
2025-09-17,7000000,Won,75,
2025-09-27,5000000,Won,78,
2025-10-01,4000000,Rollover,79,
2025-10-04,5000000,Won,80,
2025-10-08,4000000,Rollover,81,Start of record-breaking chain
2025-10-11,5000000,Rollover,82,
2025-10-15,6000000,Rollover,83,
2025-10-18,8000000,Rollover,84,
2025-10-22,10000000,Rollover,85,
2025-10-25,13000000,Rollover,86,
2025-10-29,17000000,Rollover,87,
2025-11-01,22000000,Rollover,88,
2025-11-05,28000000,Rollover,89,
2025-11-08,35000000,Rollover,90,
2025-11-12,45000000,Rollover,91,
2025-11-15,55166667,Won,92,Largest jackpot in NZ history (12-draw chain)
2025-11-19,4000000,Rollover,93,
2025-11-22,5000000,Won,94,
2025-11-26,4000000,Rollover,95,
2025-11-29,5500000,Rollover,96,
2025-12-03,8000000,Rollover,97,
2025-12-06,12000000,Rollover,98,
2025-12-10,16000000,Won,99,
2025-12-13,4000000,Rollover,100,
2025-12-17,5000000,Won,101,
2025-12-20,6200000,Won,102,
2025-12-24,4000000,Rollover,103,
2025-12-27,5500000,Won,104,Last draw of 2025
2025-12-31,4000000,Won,105,
2026-01-03,4000000,Rollover,106,
2026-01-07,6000000,Rollover,107,
2026-01-10,8000000,Rollover,108,
2026-01-14,10200000,Won,109,
2026-01-17,4000000,Rollover,110,
2026-01-21,5333333,Won,111,
2026-01-24,4000000,Won,112,
2026-01-28,4000000,Rollover,113,
2026-01-31,5000000,Won,114,
2026-02-04,4000000,Rollover,115,
2026-02-07,5500000,Rollover,116,
2026-02-11,8500000,Rollover,117,
2026-02-14,15249999,Won,118,
2026-02-18,4500000,Won,119,
2026-02-21,4000000,Rollover,120,
2026-02-25,5000000,Won,121,
2026-02-28,4000000,Rollover,122,
2026-03-04,5500000,Rollover,123,
2026-03-07,7500000,Won,124,
2026-03-11,4000000,Rollover,125,
2026-03-14,5500000,Rollover,126,
2026-03-18,8000000,Rollover,127,
2026-03-21,12000000,Rollover,128,
2026-03-25,18000000,Rollover,129,
2026-03-28,25500000,Won,130,5-draw rollover chain
2026-04-01,4000000,Rollover,131,
2026-04-04,5500000,Rollover,132,
2026-04-08,7500000,Rollover,133,
2026-04-11,10000000,Rollover,134,
2026-04-15,14333333,Won,135,5-draw rollover chain
2026-04-18,4000000,Rollover,136,
2026-04-22,5500000,Won,137,
2026-04-25,4000000,Won,138,
2026-04-29,4000000,Rollover,139,
2026-05-02,5000000,Won,140,
2026-05-06,4000000,Rollover,141,
2026-05-09,5500000,Won,142,
2026-05-13,4000000,Rollover,143,
2026-05-16,5000000,Rollover,144,
2026-05-20,7000000,Rollover,145,
2026-05-23,10000000,Rollover,146,
2026-05-27,14000000,Rollover,147,
2026-05-30,20000000,Rollover,148,
2026-06-03,28200000,Won,149,6-draw rollover chain
2026-06-06,4500000,Won,150,
